warzone_id,r5_name_or_alliance,contact_channel,language,first_contact_date,response,status,code_offered,revenue
2001,TBD - alliance name unknown,,EN,,,not_contacted,,
2002,TBD - alliance name unknown,,EN,,,not_contacted,,
2003,TBD - alliance name unknown,,EN,,,not_contacted,,
2004,TBD - alliance name unknown,,EN,,,not_contacted,,
2005,TBD - alliance name unknown,,EN,,,not_contacted,,
2006,TBD - alliance name unknown,,EN,,,not_contacted,,
2007,RONY (self - Evan),self,EN/KR,2026-07-14,n/a,self,RONY-FREE,0
2007,TINO (self - Evan),self,EN/KR,2026-07-14,n/a,self,RONY-FREE,0
2008,TBD - alliance name unknown,,EN,,,not_contacted,,
2009,TBD - alliance name unknown,,EN,,,not_contacted,,
2010,TBD - alliance name unknown,,EN,,,not_contacted,,
2011,TBD - alliance name unknown,,KR,,,not_contacted,,
2012,TBD - alliance name unknown,,KR,,,not_contacted,,
2013,TBD - alliance name unknown,,EN,,,not_contacted,,
2014,TBD - alliance name unknown,,EN,,,not_contacted,,
2015,TBD - alliance name unknown,,PT,,,not_contacted,,
2016,TBD - alliance name unknown,,ES,,,not_contacted,,
2017,TBD - alliance name unknown,,EN,,,not_contacted,,
2018,TBD - alliance name unknown,,EN,,,not_contacted,,
2019,TBD - alliance name unknown,,JA,,,not_contacted,,
2020,TBD - alliance name unknown,,EN,,,not_contacted,,
2021,TBD - alliance name unknown,,EN,,,not_contacted,,
2022,TBD - alliance name unknown,,DE,,,not_contacted,,
2023,TBD - alliance name unknown,,EN,,,not_contacted,,
2024,TBD - alliance name unknown,,FR,,,not_contacted,,
2025,TBD - alliance name unknown,,EN,,,not_contacted,,
2026,TBD - alliance name unknown,,EN,,,not_contacted,,
2027,TBD - alliance name unknown,,KR,,,not_contacted,,
2028,TBD - alliance name unknown,,EN,,,not_contacted,,
2029,TBD - alliance name unknown,,EN,,,not_contacted,,
2030,TBD - alliance name unknown,,EN,,,not_contacted,,
